UniqueID,TempID,Collector,SampleRound,Order,Family,Genus,SubGenus,Species,SubSpecies,PlantGenus,PlantSpecies,PlantFamily,Date,Dos,SampleRound.1,StartTime,EndTime,TempStart,TempEnd,WindStart,WindEnd,SkyStart,SkyEnd,Site,Country,State,County,Meadow,Forest,MtRange,Lat,Long,GenSp,PlantGenSp,Int,IntGen,PolSpec,PlantSpec,DateStart
MM_080312_114,114,LCP,4,Diptera,Syrphidae,Copestylum,,avidum,,Agoseris,glauca,Asteraceae,8/3/12,24,4,8:26,12:00,65.3,69.3,0,3.5,clear,bright overcast,MM,USA,New Mexico,Socorro,South Baldy meadow,Cibola,Magdalena Mts.,33.991475,107.183675,Copestylum avidum ,Agoseris glauca,Copestylum avidum  Agoseris glauca,Copestylum Agoseris,0.289739026,0.211084404,8/3/12
MM_080412_219,219,LCP,5,Hymenoptera,Halictidae,Lasioglossum,Dialictus,ruidosense,,Agoseris,glauca,Asteraceae,8/4/12,25,5,8:33,13:30,62.4,73,2,3.5,clear,bright overcast,MM,USA,New Mexico,Socorro,South Baldy meadow,Cibola,Magdalena Mts.,33.991475,107.183675,Lasioglossum ruidosense ,Agoseris glauca,Lasioglossum ruidosense  Agoseris glauca,Lasioglossum Agoseris,0.232788579,0.211084404,8/4/12
MM_080412_167,167,LCP,5,Diptera,Syrphidae,Copestylum,,avidum,,Agoseris,glauca,Asteraceae,8/4/12,25,5,8:33,13:30,62.4,73,2,3.5,clear,bright overcast,MM,USA,New Mexico,Socorro,South Baldy meadow,Cibola,Magdalena Mts.,33.991475,107.183675,Copestylum avidum ,Agoseris glauca,Copestylum avidum  Agoseris glauca,Copestylum Agoseris,0.289739026,0.211084404,8/4/12
JC_071512_142,142,HLS,3,Hymenoptera,Apidae,Bombus,,flavifrons,,Allium,cernuum,Amaryllidaceae,7/15/12,5,4,8:50,13:50,61.6,71.1,1.8,3,clear,partly cloudy,JC,USA,New Mexico,Santa Fe,Jack's creek meadow,Santa Fe,Sangre de Cristo Mts.,35.855092,105.640575,Bombus flavifrons ,Allium cernuum,Bombus flavifrons  Allium cernuum,Bombus Allium,0.423948962,0.259730745,7/15/12
JC_071712_173,173,LCP,5,Hymenoptera,Apidae,Bombus,,flavifrons,,Allium,cernuum,Amaryllidaceae,7/17/12,7,6,9:30,14:30,65.5,77.5,1.6,2.1,clear,bright overcast,JC,USA,New Mexico,Santa Fe,Jack's creek meadow,Santa Fe,Sangre de Cristo Mts.,35.855092,105.640575,Bombus flavifrons ,Allium cernuum,Bombus flavifrons  Allium cernuum,Bombus Allium,0.423948962,0.259730745,7/17/12
JC_071712_174,174,LCP,5,Hymenoptera,Apidae,Bombus,,flavifrons,,Allium,cernuum,Amaryllidaceae,7/17/12,7,6,9:30,14:30,65.5,77.5,1.6,2.1,clear,bright overcast,JC,USA,New Mexico,Santa Fe,Jack's creek meadow,Santa Fe,Sangre de Cristo Mts.,35.855092,105.640575,Bombus flavifrons ,Allium cernuum,Bombus flavifrons  Allium cernuum,Bombus Allium,0.423948962,0.259730745,7/17/12
MM_080212_110,110,LCP,3,Diptera,Syrphidae,Chrysotoxum,,sp.,a,Allium,cernuum,Amaryllidaceae,8/2/12,23,3,8:26,13:00,63.5,76.5,1.5,0.8,clear,clear,MM,USA,New Mexico,Socorro,South Baldy meadow,Cibola,Magdalena Mts.,33.991475,107.183675,Chrysotoxum sp. a,Allium cernuum,Chrysotoxum sp. a Allium cernuum,Chrysotoxum Allium,0.673927175,0.259730745,8/2/12
MM_080312_206,206,LCP,4,Hymenoptera,Apidae,Bombus,,huntii,,Allium,cernuum,Amaryllidaceae,8/3/12,24,4,8:26,12:00,65.3,69.3,0,3.5,clear,bright overcast,MM,USA,New Mexico,Socorro,South Baldy meadow,Cibola,Magdalena Mts.,33.991475,107.183675,Bombus huntii ,Allium cernuum,Bombus huntii  Allium cernuum,Bombus Allium,0.50242369,0.259730745,8/3/12
SC_072712_51,51,HLS,4,Diptera,Syrphidae,Copestylum,,lentum,,Allium,geyer,Amaryllidaceae,7/27/12,17,5,9:38,14:00,70.3,76.6,1.9,0.8,clear,partly Cloudy,SC,USA,New Mexico,Bernalillo,Kiwanis meadow,Cibola,Sandia Mts.,35.20635,106.443375,Copestylum lentum ,Allium geyer,Copestylum lentum  Allium geyer,Copestylum Allium,0.231138913,0.082709052,7/27/12
MM_080212_114,114,LCP,3,Hymenoptera,Halictidae,Lasioglossum,Dialictus,ruidosense,,Androsace,chamaejasme,Primulaceae,8/2/12,23,3,8:26,13:00,63.5,76.5,1.5,0.8,clear,clear,MM,USA,New Mexico,Socorro,South Baldy meadow,Cibola,Magdalena Mts.,33.991475,107.183675,Lasioglossum ruidosense ,Androsace chamaejasme,Lasioglossum ruidosense  Androsace chamaejasme,Lasioglossum Androsace,0.232788579,0.252408977,8/2/12
MM_080212_303,303,HLS,3,Hymenoptera,Halictidae,Lasioglossum,Dialictus,semicaeruleum,,Androsace,chamaejasme,Primulaceae,8/2/12,23,3,8:26,13:00,63.5,76.5,1.5,0.8,clear,clear,MM,USA,New Mexico,Socorro,South Baldy meadow,Cibola,Magdalena Mts.,33.991475,107.183675,Lasioglossum semicaeruleum ,Androsace chamaejasme,Lasioglossum semicaeruleum  Androsace chamaejasme,Lasioglossum Androsace,0.247794197,0.252408977,8/2/12
