"GenusSpecies","degree","normalised.degree","species.strength","interaction.push.pull","nestedrank","PDI","resource.range","species.specificity.index","PSI","node.specialisation.index.NSI","betweenness","weighted.betweenness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.generality","proportional.similarity","d","r.degree"
"Dodecatheon pulchellum",8,0.036036036036036,1.40912077843359,0.0511400973041984,0.45,0.979638009049774,0.968325791855204,0.369603448034812,1,1.49,0.00303651066002848,0,0.00968072829849981,0.0030999382613799,13.1934640786877,2.01981499249295,7.53693041596068,0.152965536637307,0.10762022874466,0.438404724156642,12.1666666666667
"Drymaria leptophylla",3,0.0135135135135135,0.0789959394610557,-0.307001353512981,0.71,0.995475113122172,0.990950226244344,0.610058969036074,1,1.54,0.00133034111461339,0,0.00936017438133094,0.00149802209759162,5.4525555311395,1.03972077083992,2.82842712474619,0.057404254663159,0.0376188507647788,0.361048843794518,5
"Echeandia flavescens",3,0.0135135135135135,0.30316742081448,-0.232277526395173,0.73,0.990950226244344,0.990950226244344,0.57473188712777,1,1.81,0.000167970322665819,0,0.00767192375090824,0.000753632025815972,536870956.16667,1.09861228866811,3,0.0608864066119188,0.0135042028386386,0.532988871666409,6
"Eremogone fendleri",37,0.166666666666667,5.76255401796702,0.128717676161271,0.06,0.986773407587887,0.83710407239819,0.290866204503552,1,1.1,0.0357825212767042,0,0.012181048852417,0.0157307704234869,15.5105054660657,3.05651402796866,21.2533393300645,0.431346486770464,0.378063641055154,0.311806436827664,42
"Erigeron arizonicus",4,0.018018018018018,0.229270960246346,-0.192682259938413,0.62,0.993966817496229,0.986425339366516,0.550438671928272,1,1.58,0.000890022083846042,0,0.00910373124759585,0.00217484918047779,3.87837451962527,1.27703425946614,3.58598882705695,0.0727793246099958,0.105002066969822,0.293926454821246,6
"Erigeron divergens",13,0.0585585585585586,4.499652231304,0.269204017792615,0.32,0.986425339366516,0.945701357466063,0.333159834183417,1,1.45,0.00342357185760342,0,0.0099371714322349,0.0042282534313869,16.0987175495072,2.38542864127748,10.863718305142,0.220484256681407,0.0865371365578063,0.521936594426474,26.5
"Erigeron flagellaris",28,0.126126126126126,6.40863379418124,0.19316549264933,0.12,0.981900452488688,0.877828054298643,0.293285338182392,1,1.24,0.0203018497156848,0,0.0112834978843441,0.0118143310881175,16.2062848319099,2.84097487590612,17.132459420493,0.347711296846111,0.332208901750034,0.3325611373952,100.25
"Erigeron formosissimus",26,0.117117117117117,3.19312207322934,0.0843508489703591,0.13,0.997457088366179,0.886877828054299,0.647180763608631,1,1.18,0.0174926747510196,0,0.0116681625849468,0.0169961840143291,8.16551044932149,1.63657078921139,5.13752162578168,0.10426841022829,0.305598754131206,0.427078983606772,179
"Erigeron speciosus",14,0.0630630630630631,0.666086841007347,-0.0238509399280467,0.29,0.994972347913524,0.941176470588235,0.498691585955698,1,1.27,0.015265003472099,0,0.0110911655340428,0.0083740001062958,8.00692988121637,1.97661125101349,7.2182406867279,0.14649757915827,0.214540588760036,0.30857457116574,22
"Erigeron subtrinervis",71,0.31981981981982,24.0129697223262,0.324126334117271,0.01,0.99144916814342,0.683257918552036,0.37862556127604,1,1.07,0.0468046173220472,0.145214521452145,0.0123733812027183,0.0209778774453774,19.1617225717559,2.75483308583415,15.7184170573596,0.319012644083373,0.442215864174699,0.399253376580606,123.545454545455
"Erigeron tracyi",22,0.0990990990990991,4.50623491899628,0.159374314499831,0.17,0.989253393665158,0.904977375565611,0.379658411506139,1,1.28,0.0126918020414778,0,0.0110270547506091,0.0123858242115869,9.93734603836099,2.41371671781521,11.1754199343916,0.226810387394769,0.206252966484467,0.412940549340453,37.125
"Erodium cicutarium",1,0.0045045045045045,0.00318471337579618,-0.996815286624204,0.92,1,1,1,1,1.69,0,0,0.00839851262982434,0.000395424190350677,134217776.500017,0,1,0.0202954688706396,0.0432685682789031,0.109121929629514,1
"Erysimum capitatum",34,0.153153153153153,6.46776984564788,0.160816760166114,0.08,0.984162895927602,0.850678733031674,0.301992572745807,1,1.08,0.0429601137495208,0,0.0123092704192845,0.0152200930775542,14.0466536881819,2.89858469360646,18.1484415789646,0.368331131116498,0.409825570713334,0.270856271197843,50.9
"Gaura coccinea",4,0.018018018018018,1.18637254901961,0.046593137254902,0.65,0.986425339366516,0.986425339366516,0.496594739039419,1,1.66,0.000914722512736973,0,0.00859084498012566,0.000774734699849729,2147483650,1.38629436111989,4,0.0811818754825584,0.0378944467410776,0.550044877501303,10
"Gentiana affinis",4,0.018018018018018,0.0883088857895789,-0.227922778552605,0.63,0.996606334841629,0.986425339366516,0.620471403963167,1,1.52,0.00741567834282422,0,0.00948839594819849,0.00248233644959311,3.87837451962527,1.15374194270109,3.17003282492367,0.0643373025171441,0.0927380460245281,0.373619484703165,7
"Gentiana parryi",15,0.0675675675675676,0.831396414431074,-0.0112402390379284,0.27,0.987933634992459,0.936651583710407,0.334217194488116,1,1.21,0.0180238646521064,0,0.0114758302346455,0.00542175235140023,20.756839446539,2.47635401983067,11.8978060768513,0.241471552861642,0.205557017049369,0.356698166987407,51
"Gentianopsis detonsa",8,0.036036036036036,1.11198228810103,0.0139977860126291,0.46,0.989441930618401,0.968325791855204,0.395220312006638,1,1.36,0.00874065388789729,0,0.0105141684831389,0.00274004703391185,18.5682683277798,1.97300140639361,7.19223093324864,0.145969699016199,0.161085848146617,0.335175546223592,29
