"GenusSpecies","degree","normalised.degree","species.strength","interaction.push.pull","nestedrank","PDI","resource.range","species.specificity.index","PSI","node.specialisation.index.NSI","betweenness","weighted.betweenness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.generality","proportional.similarity","d","r.degree"
"Paragus haemorrhous",4,0.043010752688172,0.0102025697538694,-0.247449357561533,0.396694214876033,0.967391304347826,0.967391304347826,0.49178026199407,0.00255064243846734,1.31818181818182,0.00445800581968461,0,0.00482136087945413,0.000753008840573893,NA,1.38629436111989,4,0.13459610443086,0.329880403051135,0.0538377088134287,10
"Paragus sp. a",4,0.043010752688172,0.0672052311706128,-0.233198692207347,0.384297520661157,0.985507246376812,0.967391304347826,0.54642501927153,0.014828504454221,1.6404958677686,0.00150059173225322,0,0.00389736542835481,0.00118491779370351,NA,1.27703425946614,3.58598882705695,0.120665031663613,0.0551841039645918,0.342589562573644,6
"Paranthidium jugatorium",3,0.032258064516129,0.0528732183045761,-0.315708927231808,0.409090909090909,0.996376811594203,0.978260869565217,0.769963767263467,0.0278169542385596,1.64462809917355,0.000903690306789922,0,0.0038855193328279,0.00187716472714339,NA,0.721463686692511,2.05744245895607,0.0692309350165339,0.131368302100009,0.375875666236025,3.5
"Parasyrphus relictus",2,0.021505376344086,0.0087404214559387,-0.495629789272031,0.549586776859504,0.994565217391304,0.989130434782609,0.742108238521282,0.00546775223499361,1.52066115702479,0.000356081091001793,0,0.00424090219863533,0.000580376179918017,NA,0.636514168294813,1.88988157484231,0.0635926744523582,0.111969111969112,0.211906269407598,2.5
"Pipizini sp. a",3,0.032258064516129,0.00891929866734737,-0.330360233777551,0.454545454545455,0.989130434782609,0.978260869565217,0.606800232151513,0.00333114625273993,1.4504132231405,0.00140833186804878,0,0.00444228582259287,0.000754514972489383,NA,1.03972077083992,2.82842712474619,0.0951738181643535,0.157547791694133,0.147770714355215,5
"Platycheirus confusus",1,0.010752688172043,0.00833333333333333,-0.991666666666667,0.942148760330578,1,1,1,0.00833333333333333,1.86363636363636,0,0,0.00328136846095527,0.000203440795296473,NA,0,1,0.0336490261077149,0.0113004991053772,0.336879624201513,1
"Platycheirus sp. a",10,0.10752688172043,0.196486955128036,-0.0803513044871964,0.169421487603306,0.974184782608696,0.902173913043478,0.419914875201461,0.0182044064516527,1.30165289256198,0.00464433551383381,0,0.00486874526156179,0.00318131403890444,NA,1.95045431174248,7.03188152135882,0.236615964898561,0.364026046952876,0.204373256072908,16.25
"Platycheirus spinipes",1,0.010752688172043,0.032258064516129,-0.967741935483871,0.946280991735537,1,1,1,0.032258064516129,1.97107438016529,0,0,0.00298916477129138,0.000203199715940585,NA,0,1,0.0336490261077149,0.00291929560222243,0.524354921560216,1
"Platycheirus spp.",1,0.010752688172043,0.00602409638554217,-0.993975903614458,0.950413223140496,1,1,1,0.00602409638554217,1.89256198347107,0,0,0.00317475360121304,0.000203299527092185,NA,0,1,0.0336490261077149,0.0156323570957717,0.291933345179538,1
"Platycheirus stegnus",5,0.0537634408602151,0.302362122335704,-0.139527575532859,0.34297520661157,0.978260869565217,0.956521739130435,0.462350641766645,0.0516708262641244,1.45867768595041,0.00743977583061903,0.000173016137082016,0.00441859363153905,0.000903306790991077,NA,1.56071040904141,4.7622031559046,0.160243498323276,0.123552123552124,0.352305886903929,13
