,key,site,date,number,genID,genSp,sex,fieldPlantID,finalPlantID,samplingDay,sampingRound,collector,determiner.x,dateDetermined,notes,uniqueID,genus_species,genus,family,determiner.y
82,Colias_eurytheme,PL,81112,278B,sulfur,Colias eurytheme,,thistle,Cirsium parryi,3,1,HLS,,,,EMEC_SI_PL_081112_278B,Colias eurytheme,Colias,Pieridae,L.Ponisio
83,Colias_eurytheme,PL,81312,231,sulfur,Colias eurytheme,,purple flower,Glandularia bipinnatifida,5,1,HLS,,,,EMEC_SI_PL_081312_231,Colias eurytheme,Colias,Pieridae,L.Ponisio
84,Colias_eurytheme,SC,72712,265,sulfur,,,Erigeron subtrinervis,Erigeron subtrinervis,5,1,LCP,,,,EMEC_SI_SC_072712_265,Colias eurytheme,Colias,Pieridae,L.Ponisio
85,Colias_eurytheme,PL,81212,288,vanessa,,,thistle,Cirsium parryi,4,1,HLS,,,,EMEC_SI_PL_081212_288,Colias eurytheme,Colias,Pieridae,L.Ponisio
86,Colias_eurytheme,SC,72012,325,sulfur,Colias eurytheme,f,Erigeron subtrinervis,Erigeron subtrinervis,1,1,HLS,,,,EMEC_SI_SC_072012_325,Colias eurytheme,Colias,Pieridae,L.Ponisio
87,Colias_eurytheme,JC,71512,4,sulfur,Colias eurytheme,m,Erigeron subtrinervis,Erigeron subtrinervis,4,1,LCP,,,,EMEC_SI_JC_071512_4,Colias eurytheme,Colias,Pieridae,L.Ponisio
88,Colias_eurytheme,JC,71612,4,sulfur,Colias eurytheme,f,Erigeron subtrinervis,Erigeron subtrinervis,5,1,HLS,,,,EMEC_SI_JC_071612_4,Colias eurytheme,Colias,Pieridae,L.Ponisio
89,Colias_eurytheme,JC,71712,11,sulfur,Colias eurytheme,m,Erigeron subtrinervis,Erigeron subtrinervis,6,1,HLS,,,,EMEC_SI_JC_071712_11,Colias eurytheme,Colias,Pieridae,L.Ponisio
90,Colias_eurytheme,MM,80212,331,sulfur,,,yellow brassica,Erysimum capitatum,3,1,LCP,,,,EMEC_SI_MM_080212_331,Colias eurytheme,Colias,Pieridae,L.Ponisio
91,Colias_eurytheme,PL,81012,335,sulfur,Colias eurytheme,,purple flower,Glandularia bipinnatifida,2,1,HLS,,,,EMEC_SI_PL_081012_335,Colias eurytheme,Colias,Pieridae,L.Ponisio
92,Colias_eurytheme,CH,82012,189,sulfur,Colias eurytheme,,purple flower,Glandularia bipinnatifida,3,2,LCP,,,,EMEC_SI_CH_082012_189,Colias eurytheme,Colias,Pieridae,L.Ponisio
93,Colias_eurytheme,PL,80912,411,sulfur,Colias eurytheme,,purple flower,Glandularia bipinnatifida,1,1,LCP,,,,EMEC_SI_PL_080912_411,Colias eurytheme,Colias,Pieridae,L.Ponisio
94,Colias_eurytheme,JC,71712,13,sulfur,Colias eurytheme,m,Erigeron subtrinervis,Erigeron subtrinervis,6,1,HLS,,,,EMEC_SI_JC_071712_13,Colias eurytheme,Colias,Pieridae,L.Ponisio
95,Colias_eurytheme,PL,81112,267,sulfur,Colias eurytheme,,purple flower,Glandularia bipinnatifida,3,1,LCP,,,,EMEC_SI_PL_081112_267,Colias eurytheme,Colias,Pieridae,L.Ponisio
96,Colias_eurytheme,JC,71612,8,sulfur,Colias eurytheme,m,Erigeron subtrinervis,Erigeron subtrinervis,5,1,HLS,,,,EMEC_SI_JC_071612_8,Colias eurytheme,Colias,Pieridae,L.Ponisio
97,Colias_eurytheme,JC,71612,11,sulfur,Colias eurytheme,m,white aster,Hymenopappus newberryi,5,1,HLS,,,,EMEC_SI_JC_071612_11,Colias eurytheme,Colias,Pieridae,L.Ponisio
98,Colias_eurytheme,JC,71612,3,sulfur,Colias eurytheme,f,white aster,Hymenopappus newberryi,5,1,HLS,,,,EMEC_SI_JC_071612_3,Colias eurytheme,Colias,Pieridae,L.Ponisio
99,Colias_eurytheme,SC,72712,267B,sulfur,,,wall flower,Erysimum capitatum,5,1,HLS,,,,EMEC_SI_SC_072712_267B,Colias eurytheme,Colias,Pieridae,L.Ponisio
100,Colias_eurytheme,PL,81212,285,sulfur,Colias eurytheme,,thistle,Cirsium parryi,4,1,HLS,,,,EMEC_SI_PL_081212_285,Colias eurytheme,Colias,Pieridae,L.Ponisio
101,Colias_eurytheme,JC,71612,9,sulfur,Colias eurytheme,m,Erigeron subtrinervis,Erigeron subtrinervis,5,1,HLS,,,,EMEC_SI_JC_071612_9,Colias eurytheme,Colias,Pieridae,L.Ponisio
102,Colias_eurytheme,SC,72712,268,sulfur,,,wall flower,Erysimum capitatum,5,1,HLS,,,,EMEC_SI_SC_072712_268,Colias eurytheme,Colias,Pieridae,L.Ponisio
103,Colias_eurytheme,JC,71612,10,sulfur,Colias eurytheme,m,Erigeron subtrinervis,Erigeron subtrinervis,5,1,HLS,,,,EMEC_SI_JC_071612_10,Colias eurytheme,Colias,Pieridae,L.Ponisio
104,Colias_eurytheme,SC,72712,266,sulfur,,,Erigeron subtrinervis,Erigeron subtrinervis,5,1,LCP,,,,EMEC_SI_SC_072712_266,Colias eurytheme,Colias,Pieridae,L.Ponisio
105,Colias_eurytheme,SC,72712,267,sulfur,,,wall flower,Erysimum capitatum,5,1,HLS,,,,EMEC_SI_SC_072712_267,Colias eurytheme,Colias,Pieridae,L.Ponisio
106,Colias_eurytheme,PL,80912,388,sulfur,Colias eurytheme,,purple flower,Glandularia bipinnatifida,1,1,HLS,,,,EMEC_SI_PL_080912_388,Colias eurytheme,Colias,Pieridae,L.Ponisio
107,Epargyreus_clarus,PL,81112,280,skipper,,,purple flower,Glandularia bipinnatifida,3,1,HLS,,,,EMEC_SI_PL_081112_280,Epargyreus clarus,Epargyreus,Hesperiidae,L.Ponisio
108,Epargyreus_clarus,PL,81012,324,skipper,,,purple flower,Glandularia bipinnatifida,2,1,LCP,,,,EMEC_SI_PL_081012_324,Epargyreus clarus,Epargyreus,Hesperiidae,L.Ponisio
