,key,site,date,number,genID,genSp,sex,fieldPlantID,finalPlantID,samplingDay,sampingRound,collector,uniqueID,genus_species,genus,family,determiner.y,lat,long,state,country,county
45,Colias_eurytheme,PL,80912,380,sulfur,Colias eurytheme,,purple flower,Glandularia bipinnatifida,1,1,HLS,EMEC_SI_PL_080912_380,Colias eurytheme,Colias,Pieridae,L.Ponisio," 32Á40'6.21""N","109Á52'39.51""W",Arizona,USA,Graham
46,Colias_eurytheme,PL,81112,288,sulfur,Colias eurytheme,,purple flower,Glandularia bipinnatifida,3,1,HLS,EMEC_SI_PL_081112_288,Colias eurytheme,Colias,Pieridae,L.Ponisio," 32Á40'6.21""N","109Á52'39.51""W",Arizona,USA,Graham
47,Colias_eurytheme,PL,81112,277,sulfur,Colias eurytheme,,big yellow aster,Hymenoxys hoopesii,3,1,HLS,EMEC_SI_PL_081112_277,Colias eurytheme,Colias,Pieridae,L.Ponisio," 32Á40'6.21""N","109Á52'39.51""W",Arizona,USA,Graham
48,Colias_eurytheme,JC,71212,129,pierid,Colias eurytheme,f,Erigeron subtrinervis,Erigeron subtrinervis,2,1,LCP,EMEC_SI_JC_071212_129,Colias eurytheme,Colias,Pieridae,L.Ponisio," 35Á51'18.33""N","105Á38'26.07""W",New Mexico,USA,Santa Fe
49,Colias_eurytheme,JC,71612,3,sulfur,Colias eurytheme,f,white aster,Hymenopappus newberryi,5,1,HLS,EMEC_SI_JC_071612_3,Colias eurytheme,Colias,Pieridae,L.Ponisio," 35Á51'18.33""N","105Á38'26.07""W",New Mexico,USA,Santa Fe
50,Colias_eurytheme,JC,71712,6,sulfur,Colias eurytheme,f,Hymenopappus newberryi,Hymenopappus newberryi,6,1,HLS,EMEC_SI_JC_071712_6,Colias eurytheme,Colias,Pieridae,L.Ponisio," 35Á51'18.33""N","105Á38'26.07""W",New Mexico,USA,Santa Fe
51,Colias_eurytheme,PL,81212,288,vanessa,,,thistle,Cirsium parryi,4,1,HLS,EMEC_SI_PL_081212_288,Colias eurytheme,Colias,Pieridae,L.Ponisio," 32Á40'6.21""N","109Á52'39.51""W",Arizona,USA,Graham
52,Colias_eurytheme,PL,81212,291,sulfur,Colias eurytheme,,purple flower,Glandularia bipinnatifida,4,1,LCP,EMEC_SI_PL_081212_291,Colias eurytheme,Colias,Pieridae,L.Ponisio," 32Á40'6.21""N","109Á52'39.51""W",Arizona,USA,Graham
53,Colias_eurytheme,PL,81112,275,sulfur,Colias eurytheme,,thistle,Cirsium parryi,3,1,HLS,EMEC_SI_PL_081112_275,Colias eurytheme,Colias,Pieridae,L.Ponisio," 32Á40'6.21""N","109Á52'39.51""W",Arizona,USA,Graham
54,Colias_eurytheme,JC,71612,11,sulfur,Colias eurytheme,m,white aster,Hymenopappus newberryi,5,1,HLS,EMEC_SI_JC_071612_11,Colias eurytheme,Colias,Pieridae,L.Ponisio," 35Á51'18.33""N","105Á38'26.07""W",New Mexico,USA,Santa Fe
55,Colias_eurytheme,PL,80912,400,sulfur,Colias eurytheme,,wall flower,Erysimum capitatum,1,1,LCP,EMEC_SI_PL_080912_400,Colias eurytheme,Colias,Pieridae,L.Ponisio," 32Á40'6.21""N","109Á52'39.51""W",Arizona,USA,Graham
56,Colias_eurytheme,JC,71512,4,sulfur,Colias eurytheme,m,Erigeron subtrinervis,Erigeron subtrinervis,4,1,LCP,EMEC_SI_JC_071512_4,Colias eurytheme,Colias,Pieridae,L.Ponisio," 35Á51'18.33""N","105Á38'26.07""W",New Mexico,USA,Santa Fe
