Meadow,Family,GenusSpecies,Forest,State,Deteriner,Count
Jack's creek meadow,Halictidae,Lasioglossum obnubilum Dialictus,Santa Fe,New Mexico,J.S. Ascher,3
Jack's creek meadow,Halictidae,Lasioglossum occultum,Santa Fe,New Mexico,J.S. Ascher,2
Jack's creek meadow,Halictidae,Lasioglossum prasinogaster,Santa Fe,New Mexico,J.S. Ascher,1
Jack's creek meadow,Halictidae,Lasioglossum ruidosense,Santa Fe,New Mexico,J.S. Ascher,16
Jack's creek meadow,Halictidae,Lasioglossum sedi,Santa Fe,New Mexico,J.S. Ascher,2
Jack's creek meadow,Halictidae,Lasioglossum semicaeruleum,Santa Fe,New Mexico,J.S. Ascher,16
Jack's creek meadow,Halictidae,Lasioglossum sisymbrii,Santa Fe,New Mexico,J.S. Ascher,3
Jack's creek meadow,Megachilidae,Megachile frigida,Santa Fe,New Mexico,J.S. Ascher,3
Jack's creek meadow,Megachilidae,Megachile melanophaea,Santa Fe,New Mexico,J.S. Ascher,6
Jack's creek meadow,Megachilidae,Megachile relativa,Santa Fe,New Mexico,J.S. Ascher,2
Jack's creek meadow,Apidae,Melissodes confusa,Santa Fe,New Mexico,J.S. Ascher,5
Jack's creek meadow,Apidae,Melissodes coreopsis,Santa Fe,New Mexico,J.S. Ascher,1
Jack's creek meadow,Apidae,Melissodes menuachus,Santa Fe,New Mexico,J.S. Ascher,2
Jack's creek meadow,Apidae,Melissodes sp. a,Santa Fe,New Mexico,J.S. Ascher,1
Jack's creek meadow,Apidae,Melissodes sp. b,Santa Fe,New Mexico,J.S. Ascher,1
Jack's creek meadow,Apidae,Melissodes tristis,Santa Fe,New Mexico,J.S. Ascher,8
Jack's creek meadow,Andrenidae,Panurginus cressoniellus,Santa Fe,New Mexico,J.S. Ascher,7
Jack's creek meadow,Andrenidae,Pseudopanurgus atricornis,Santa Fe,New Mexico,J.S. Ascher,11
Jack's creek meadow,Halictidae,Sphecodes sp. b,Santa Fe,New Mexico,J.S. Ascher,4
Jack's creek meadow,Hesperiidae,Atrytonopsis sp. a,Santa Fe,New Mexico,L.Ponisio,1
Jack's creek meadow,Nymphalidae,Cercyonis oetus,Santa Fe,New Mexico,L.Ponisio,1
Jack's creek meadow,Nymphalidae,Coenonympha tullia,Santa Fe,New Mexico,L.Ponisio,2
Jack's creek meadow,Pieridae,Colias eurytheme,Santa Fe,New Mexico,L.Ponisio,27
Jack's creek meadow,Nymphalidae,Euptoierta claudia,Santa Fe,New Mexico,L.Ponisio,1
Jack's creek meadow,Pieridae,Eurema nicippe,Santa Fe,New Mexico,L.Ponisio,2
Jack's creek meadow,Hesperiidae,Garisma garita,Santa Fe,New Mexico,L.Ponisio,10
Jack's creek meadow,Lycaenidae,Hemiargus isola,Santa Fe,New Mexico,L.Ponisio,2
Jack's creek meadow,Pieridae,Nathalis iole,Santa Fe,New Mexico,L.Ponisio,3
Jack's creek meadow,Lycaenidae,Plebejus glandon,Santa Fe,New Mexico,L.Ponisio,1
Jack's creek meadow,Hesperiidae,Polites draco,Santa Fe,New Mexico,L.Ponisio,1
Jack's creek meadow,Pieridae,Pontia protodice,Santa Fe,New Mexico,L.Ponisio,9
Jack's creek meadow,Hesperiidae,Pyrgus commonis,Santa Fe,New Mexico,L.Ponisio,2
Jack's creek meadow,Nymphalidae,Speyeria atlantis,Santa Fe,New Mexico,L.Ponisio,1
Jack's creek meadow,Nymphalidae,Speyeria mormonia,Santa Fe,New Mexico,L.Ponisio,1
Jack's creek meadow,Lycaenidae,Strymon melinus,Santa Fe,New Mexico,L.Ponisio,2
Jack's creek meadow,Nymphalidae,Vanessa cardui,Santa Fe,New Mexico,L.Ponisio,3
Jack's creek meadow,Nymphalidae,Vanessa carye annabella,Santa Fe,New Mexico,L.Ponisio,1
Jack's creek meadow,Nymphalidae,Vanessa virginiensis,Santa Fe,New Mexico,L.Ponisio,1
Jack's creek meadow,Syrphidae,Allograpta obliqua,Santa Fe,New Mexico,M. Hauser,2
Jack's creek meadow,Syrphidae,Arctophila flagrans,Santa Fe,New Mexico,M. Hauser,9
Jack's creek meadow,Syrphidae,Blera confusa,Santa Fe,New Mexico,M. Hauser,1
Jack's creek meadow,Syrphidae,Cheilosia sp. a,Santa Fe,New Mexico,M. Hauser,2
Jack's creek meadow,Syrphidae,Eristalis arbustorum,Santa Fe,New Mexico,M. Hauser,1
Jack's creek meadow,Syrphidae,Eristalis hirta,Santa Fe,New Mexico,M. Hauser,2
Jack's creek meadow,Syrphidae,Eristalis stipator,Santa Fe,New Mexico,M. Hauser,39
Jack's creek meadow,Syrphidae,Eristalis tenax,Santa Fe,New Mexico,M. Hauser,1
Jack's creek meadow,Syrphidae,Eupeodes volucris,Santa Fe,New Mexico,M. Hauser,2
Jack's creek meadow,Syrphidae,Lapposyrphus lapponicus,Santa Fe,New Mexico,M. Hauser,2
Jack's creek meadow,Syrphidae,Lejops polygrammus,Santa Fe,New Mexico,M. Hauser,3
Jack's creek meadow,Syrphidae,Pipizini sp. a,Santa Fe,New Mexico,M. Hauser,1
Jack's creek meadow,Syrphidae,Platycheirus confusus,Santa Fe,New Mexico,M. Hauser,1
Jack's creek meadow,Syrphidae,Platycheirus stegnus,Santa Fe,New Mexico,M. Hauser,1
Jack's creek meadow,Syrphidae,Syrphus opinator,Santa Fe,New Mexico,M. Hauser,2
Jack's creek meadow,Syrphidae,Syrphus ribesii,Santa Fe,New Mexico,M. Hauser,2
Jack's creek meadow,Syrphidae,Toxomerus marginatus,Santa Fe,New Mexico,M. Hauser,1
Jack's creek meadow,Syrphidae,Xylota sp. b,Santa Fe,New Mexico,M. Hauser,3
Jack's creek meadow,Syrphidae,Xylota sp. c,Santa Fe,New Mexico,M. Hauser,1
Jack's creek meadow,Apidae,Bombus bifarius,Santa Fe,New Mexico,R.W. Thorp,59
Jack's creek meadow,Apidae,Bombus flavifrons,Santa Fe,New Mexico,R.W. Thorp,20
Jack's creek meadow,Apidae,Bombus huntii,Santa Fe,New Mexico,R.W. Thorp,1
Jack's creek meadow,Apidae,Bombus occidentalis,Santa Fe,New Mexico,R.W. Thorp,2
Jack's creek meadow,Apidae,Bombus rufocinctus,Santa Fe,New Mexico,R.W. Thorp,36
