site,date,number,finalPlantID,temp.id,meadow,mtn,forest,county,genus,subgenus,species
SC,72312,15,Solidago multiradiata,SC_072312_15,Kiwanis meadow,Sandia Mts.,Cibola,Bernalillo,,,
PL,81312,18,Penstemon strictus,PL_081312_18,Hospital Flat,Pinaleno Mts.,Coronado,Graham,,,
PL,81112,21,Cirsium parryi,PL_081112_21,Hospital Flat,Pinaleno Mts.,Coronado,Graham,,,
PL,81112,22,Cirsium parryi,PL_081112_22,Hospital Flat,Pinaleno Mts.,Coronado,Graham,,,
CH,82212,22,Psacalium decompositum,CH_082212_22,Barefoot,Chiricahua Mts.,Coronado,Cochise,,,
PL,81112,23,Cirsium parryi,PL_081112_23,Hospital Flat,Pinaleno Mts.,Coronado,Graham,,,
CH,82012,23,Heliomeris multiflora var. nevadensis,CH_082012_23,Barefoot,Chiricahua Mts.,Coronado,Cochise,,,
PL,81212,25,Hymenoxys hoopesii,PL_081212_25,Hospital Flat,Pinaleno Mts.,Coronado,Graham,,,
CH,82212,28,Heliomeris multiflora var. nevadensis,CH_082212_28,Barefoot,Chiricahua Mts.,Coronado,Cochise,,,
JC,71612,29,Erigeron subtrinervis,JC_071612_29,Jack's creek meadow,Sangre de Cristo Mts.,Santa Fe,Santa Fe,,,
JC,71612,30,Erigeron subtrinervis,JC_071612_30,Jack's creek meadow,Sangre de Cristo Mts.,Santa Fe,Santa Fe,,,
JC,71712,32,Erigeron subtrinervis,JC_071712_32,Jack's creek meadow,Sangre de Cristo Mts.,Santa Fe,Santa Fe,,,
JC,71212,33,Erigeron subtrinervis,JC_071212_33,Jack's creek meadow,Sangre de Cristo Mts.,Santa Fe,Santa Fe,,,
CH,82012,33,Monarda citriodora spp. austromontana,CH_082012_33,Barefoot,Chiricahua Mts.,Coronado,Cochise,,,
CH,82112,36,Glandularia bipinnatifida,CH_082112_36,Barefoot,Chiricahua Mts.,Coronado,Cochise,,,
JC,71412,41,Erigeron subtrinervis,JC_071412_41,Jack's creek meadow,Sangre de Cristo Mts.,Santa Fe,Santa Fe,,,
PL,81212,42,Gentianopsis detonsa,PL_081212_42,Hospital Flat,Pinaleno Mts.,Coronado,Graham,,,
PL,81312,46,Hymenoxys hoopesii,PL_081312_46,Hospital Flat,Pinaleno Mts.,Coronado,Graham,,,
JC,71412,48,Erigeron subtrinervis,JC_071412_48,Jack's creek meadow,Sangre de Cristo Mts.,Santa Fe,Santa Fe,,,
SC,72312,49,Erigeron subtrinervis,SC_072312_49,Kiwanis meadow,Sandia Mts.,Cibola,Bernalillo,,,
JC,71412,51,Erigeron subtrinervis,JC_071412_51,Jack's creek meadow,Sangre de Cristo Mts.,Santa Fe,Santa Fe,,,
JC,71712,54,Erigeron subtrinervis,JC_071712_54,Jack's creek meadow,Sangre de Cristo Mts.,Santa Fe,Santa Fe,,,
SC,72312,54,Erigeron subtrinervis,SC_072312_54,Kiwanis meadow,Sandia Mts.,Cibola,Bernalillo,,,
PL,81012,84,Spiranthes romanzoffiana,PL_081012_84,Hospital Flat,Pinaleno Mts.,Coronado,Graham,,,
CH,82012,119,Heliomeris multiflora var. nevadensis,CH_082012_119,Barefoot,Chiricahua Mts.,Coronado,Cochise,,,
JC,71612,120,Erigeron subtrinervis,JC_071612_120,Jack's creek meadow,Sangre de Cristo Mts.,Santa Fe,Santa Fe,,,
JC,71412,124,Erigeron subtrinervis,JC_071412_124,Jack's creek meadow,Sangre de Cristo Mts.,Santa Fe,Santa Fe,,,
JC,71412,125,Erigeron subtrinervis,JC_071412_125,Jack's creek meadow,Sangre de Cristo Mts.,Santa Fe,Santa Fe,,,
PL,81112,127,Cirsium parryi,PL_081112_127,Hospital Flat,Pinaleno Mts.,Coronado,Graham,,,
PL,80912,128,Cirsium parryi,PL_080912_128,Hospital Flat,Pinaleno Mts.,Coronado,Graham,,,
CH,82012,139,Cerastium nutans,CH_082012_139,Barefoot,Chiricahua Mts.,Coronado,Cochise,,,
JC,71412,150,Potentilla hippiana,JC_071412_150,Jack's creek meadow,Sangre de Cristo Mts.,Santa Fe,Santa Fe,,,
CH,82112,153,Hymenoxys hoopesii,CH_082112_153,Barefoot,Chiricahua Mts.,Coronado,Cochise,,,
PL,81212,154,Cirsium parryi,PL_081212_154,Hospital Flat,Pinaleno Mts.,Coronado,Graham,,,
CH,82112,156,Heliomeris multiflora var. nevadensis,CH_082112_156,Barefoot,Chiricahua Mts.,Coronado,Cochise,,,
SC,72012,167,Erigeron subtrinervis,SC_072012_167,Kiwanis meadow,Sandia Mts.,Cibola,Bernalillo,,,
PL,81012,221,Cirsium parryi,PL_081012_221,Hospital Flat,Pinaleno Mts.,Coronado,Graham,,,
PL,81012,222,Cirsium parryi,PL_081012_222,Hospital Flat,Pinaleno Mts.,Coronado,Graham,,,
PL,80912,247,Cirsium parryi,PL_080912_247,Hospital Flat,Pinaleno Mts.,Coronado,Graham,,,
SC,72012,256,Erigeron subtrinervis,SC_072012_256,Kiwanis meadow,Sandia Mts.,Cibola,Bernalillo,,,
SC,72012,277,Hymenoxys richardsonii,SC_072012_277,Kiwanis meadow,Sandia Mts.,Cibola,Bernalillo,,,
